area_type,size,bathroom,parking,balcony,price,total_sqft,hospital_nearby,school_nearby,mall_nearby,resale,location
Super built-up  Area,2 BHK,2,1,2,9800000,1327,Yes,Yes,Yes,0,Yelahanka
Super built-up  Area,2 BHK,2,1,2,5800000,1186,No,Yes,Yes,1,Kothanur
Built-up  Area,3 BHK,3,2,1,11500000,1783,Yes,No,Yes,0,MS Pallya
Super built-up  Area,3 BHK,3,2,2,5600000,1400,Yes,Yes,Yes,0,HSR Layout
Super built-up  Area,2 BHK,2,1,1,4800000,980,No,Yes,No,0,Nagasandra
Super built-up  Area,2 BHK,2,2,2,8200000,1285,Yes,Yes,Yes,1,EPIP Zone
Super built-up  Area,3 BHK,2,1,1,7000000,912,Yes,Yes,Yes,1,Langford Town
Built-up  Area,2 BHK,2,1,2,4760000,1225,No,No,Yes,0,Whitefield
Super built-up  Area,2 BHK,2,2,1,5300000,1075,No,No,Yes,1,Whitefield
Built-up  Area,3 BHK,2,1,2,5400000,1260,No,No,No,1,Kadugodi
Super built-up  Area,3 BHK,2,2,2,4870000,1282,No,No,No,1,Yelahanka
Super built-up  Area,3 BHK,3,1,2,8800000,1909,Yes,No,Yes,0,Kogilu
Super built-up  Area,2 BHK,2,1,1,8700000,1359,No,No,Yes,1,Panathur
Built-up  Area,2 BHK,2,1,2,4350000,1207,No,Yes,No,1,Nagondanahalli
Plot  Area,4 BHK,6,2,0,19000000,1736,No,No,No,1,Padmanabhanagar
Super built-up  Area,4 BHK,4,1,1,42800000,2850,No,No,Yes,1,1st Block Jayanagar
Super built-up  Area,3 BHK,3,2,2,6500000,1595,No,Yes,No,1,Kammasandra
Built-up  Area,3 BHK,3,1,2,8900000,1798,Yes,Yes,Yes,1,"Off Sarjapur Road, "
Super built-up  Area,3 BHK,3,2,2,7829000,1475,No,Yes,Yes,1,Electronics City Phase 1
Super built-up  Area,3 BHK,3,2,3,10000000,1580,Yes,No,No,1,Tala Cauvery Layout
Super built-up  Area,2 BHK,2,1,1,6500000,1295,No,Yes,Yes,1,Dasarahalli
Built-up  Area,6 BHK,6,2,0,14100000,3600,No,No,Yes,1,Magadi Road
Super built-up  Area,1 BHK,1,1,1,2700000,589,No,No,No,1,Electronic City
Super built-up  Area,3 BHK,3,2,3,7800000,1415,No,No,No,0,Ngef Layout
Super built-up  Area,3 BHK,3,2,2,9829000,1787,Yes,Yes,No,0,Sarjapur  Road
Super built-up  Area,3 BHK,3,1,2,12500000,1787,Yes,Yes,No,0,Sarjapur  Road
Super built-up  Area,3 BHK,2,2,3,9000000,1475,Yes,No,Yes,1,Koramangala
Built-up  Area,4 BHK,4,2,1,7550000,2000,No,No,No,1,"Lakshminarayanapura, Electronic City Phase 2"
Super built-up  Area,2 BHK,2,1,1,4428000,984,No,No,No,1,Sarjapur  Road
Super built-up  Area,3 BHK,,2,,7482000,1630,No,Yes,No,0,Devanahalli
Super built-up  Area,3 BHK,4,1,2,26000000,2405,No,No,No,1,Muthurayya Swamy Layout
Built-up  Area,2 BHK,2,2,2,7200000,1080,Yes,No,Yes,1,7th Phase JP Nagar
Plot  Area,2 BHK,2,2,1,11500000,1500,Yes,No,Yes,0,Shantiniketan Layout
Super built-up  Area,3 BHK,3,1,2,11900000,1900,No,Yes,Yes,1,Hebbal
Super built-up  Area,2 BHK,2,1,1,2214000,805,No,Yes,No,1,Dommasandra
Super built-up  Area,2 BHK,2,2,2,5640000,1153,Yes,Yes,Yes,0,Budigere
Super built-up  Area,2 BHK,2,2,2,6000000,1148,Yes,No,Yes,0,Dodda Nekkundi Extension
Super built-up  Area,2 BHK,2,1,2,5500000,1110,Yes,No,Yes,1,Mylasandra
Built-up  Area,2 BHK,2,1,2,4200000,1100,Yes,Yes,Yes,1,Electronic City
Super built-up  Area,2 BHK,2,2,2,11000000,1290,No,Yes,Yes,0,Kalyan nagar
Super built-up  Area,3 BHK,2,2,1,6500000,1500,No,Yes,No,1,Dr Shivarama Karantha Nagar
Super built-up  Area,2 BHK,2,1,2,3900000,1080,No,No,No,1,Bank Of Baroda Colony
Super built-up  Area,3 BHK,3,1,1,12900000,1933,No,No,Yes,0,Vijayanagar
Built-up  Area,5 BHK,5,1,2,15000000,3500,Yes,No,Yes,1,Ramamurthy Nagar
Built-up  Area,2 BHK,2,2,2,6000000,1060,No,Yes,Yes,1,Kullappa Colony
Super built-up  Area,1 BHK,1,2,1,1645000,645,No,Yes,No,0,Chandapura
Plot  Area,8 BHK,8,2,2,18000000,2600,Yes,No,Yes,1,Mukkutam Nagar
Super built-up  Area,1 BHK,1,2,1,1645000,645,Yes,Yes,Yes,0,Chandapura
Super built-up  Area,3 BHK,3,2,3,8400000,1644,No,Yes,Yes,0,Ashwath Nagar
Super built-up  Area,2 BHK,2,2,3,7250000,1285,Yes,Yes,No,1,Ncpr Industrial Layout
Plot  Area,3 BHK,3,2,1,9000000,1200,No,Yes,Yes,0,Electronic City
Super built-up  Area,2 BHK,2,1,1,4000000,910,No,Yes,No,0,Electronic City
Super built-up  Area,3 BHK,3,2,1,7000000,1577,Yes,Yes,No,1,Kothanur
Plot  Area,3 BHK,3,1,2,28000000,4050,No,No,Yes,0,Meenakunte
Super built-up  Area,3 BHK,3,2,2,18500000,2420,No,Yes,No,1,OMBR Layout
Super built-up  Area,2 BHK,1,1,1,2000000,800,Yes,Yes,No,1,Chandapura
Built-up  Area,2 BHK,2,2,2,5500000,1060,No,No,Yes,0,Anand Nagar
Super built-up  Area,2 BHK,2,1,2,9300000,1270,Yes,No,No,1,7th Phase JP Nagar
Super built-up  Area,2 BHK,2,2,2,2250000,900,Yes,No,No,1,Shree Ananth Nagar Layout
Built-up  Area,2 BHK,2,2,1,6900000,1280,No,Yes,Yes,0,Kundalahalli Colony
Plot  Area,4 BHK,2,1,0,9500000,1200,No,Yes,Yes,1,Horamavu Agara
Built-up  Area,2 BHK,2,2,2,3600000,1025,No,Yes,Yes,0,Sarjapur  Road
Super built-up  Area,2 BHK,2,2,1,6300000,1108,No,No,No,0,Electronic City
Plot  Area,5 BHK,5,1,,17000000,1200,No,Yes,No,1,MCECHS  layout
Super built-up  Area,3 BHK,3,2,2,17000000,3045,No,Yes,Yes,1,Coffee Board Layout
Plot  Area,4 BHK,3,2,2,30000000,2900,Yes,No,No,1,Ambedkar Nagar
Super built-up  Area,3 BHK,3,1,2,7550000,1500,No,No,No,1,Vijayanagar
Super built-up  Area,2 BHK,2,1,2,4390000,1295,No,No,No,0,Raja Rajeshwari Nagar
Super built-up  Area,2 BHK,2,2,1,5990000,1162,No,No,No,0,Budigere
Super built-up  Area,2 BHK,2,1,2,4920000,1035,Yes,Yes,Yes,0,Sarjapur  Road
Built-up  Area,4 BHK,4,2,0,5280000,1600,No,No,No,1,Attibele
Super built-up  Area,3 BHK,3,2,2,4600000,1464,No,Yes,No,0,KUDLU MAIN ROAD
Super built-up  Area,3 BHK,2,1,2,6158000,1866,Yes,No,No,1,Hennur Road
Super built-up  Area,2 BHK,1,2,1,2600000,700,No,Yes,Yes,1,Geleyara Balaga Layout
Super built-up  Area,3 BHK,3,2,2,12000000,1804,Yes,Yes,No,0,Kalena Agrahara
Super built-up  Area,2 BHK,2,1,1,3200000,913,No,No,No,1,Sarjapur
Super built-up  Area,3 BHK,3,2,2,13100000,1868,No,Yes,No,0,Talaghattapura
Built-up  Area,2 BHK,2,2,1,4500000,883,Yes,No,Yes,0,Kengeri Satellite Town
Plot  Area,2 BHK,2,2,1,11000000,900,Yes,Yes,No,1,Sundara Nagar
Super built-up  Area,3 BHK,2,1,3,7395000,1664,Yes,No,Yes,1,Kogilu
Super built-up  Area,3 BHK,3,2,2,13200000,2026,Yes,Yes,No,1,Hegde Nagar
Super built-up  Area,2 BHK,2,2,1,8090000,1210,No,Yes,Yes,0,Balagere
Plot  Area,4 BHK,4,2,2,25000000,4111,No,Yes,Yes,0,Meenakunte
Super built-up  Area,3 BHK,3,2,3,9145000,1762,Yes,No,No,0,Kadugodi
Super built-up  Area,3 BHK,3,2,3,5500000,1252,No,Yes,Yes,1,Jigani
Built-up  Area,2 BHK,2,1,1,3450000,861,Yes,No,Yes,0,Gollarapalya Hosahalli
Built-up  Area,3 BHK,2,2,1,10000000,1420,No,No,No,1,7th Phase JP Nagar
Plot  Area,6 BHK,6,2,0,25000000,1450,No,No,No,1,Srirampura
Built-up  Area,3 BHK,3,1,1,7880000,1490,Yes,Yes,No,0,Electronics City Phase 1
Super built-up  Area,3 BHK,2,2,1,4600000,1075,Yes,No,Yes,0,Bisuvanahalli
Super built-up  Area,3 BHK,2,1,2,9400000,1425,Yes,Yes,Yes,0,Old Madras Road
Built-up  Area,2 BHK,2,1,1,4000000,1200,No,Yes,No,1,Kalena Agrahara
Super built-up  Area,3 BHK,2,2,2,5600000,1280,Yes,No,No,0,Kaggadasapura
Super built-up  Area,2 BHK,2,2,2,5000000,1084,No,Yes,Yes,1,Silver Springs Layout
Super built-up  Area,2 BHK,2,1,2,2588000,1015,No,Yes,Yes,0,Chandapura
Super built-up  Area,2 BHK,2,1,1,5125000,1017,No,No,No,1,Kanakpura Road
Super built-up  Area,2 BHK,2,2,2,4400000,1027,Yes,Yes,Yes,0,Haralur Road
Super built-up  Area,2 BHK,2,2,2,4500000,1069,No,Yes,Yes,0,Electronic City Phase II
Super built-up  Area,2 BHK,2,1,1,9820000,1349,No,Yes,No,1,Hebbal
Super built-up  Area,2 BHK,2,1,1,5000000,1005,No,No,Yes,1,9th Phase JP Nagar
Super built-up  Area,2 BHK,2,1,3,7500000,1417,No,Yes,Yes,0,Jakkur
